Country,River_name,Station_name,Lattitude,Longitude,Catchment_area,SSY_average,Measuring_period,MP_length,Runoff_average,Source_data,Method
Armenia,Ахурян,с. Капс,40.870308,43.736561,839,30,NA,NA,7.9705,State water cadastre,Gauging Station measurements
Armenia,Ахурян,с. Айкадзор (Кошаванк),40.532459,43.649792,8140,39,NA,NA,29.304,State water cadastre,Gauging Station measurements
Armenia,Касах,г. Аштарак,40.287346,44.355225,1020,34,NA,NA,5.814,State water cadastre,Gauging Station measurements
Armenia,Мармарик,с. Агавнадзор (Бабакши),40.569054,44.70496,387,17,NA,NA,5.2245,State water cadastre,Gauging Station measurements
Armenia,Варденис,с. Варденик,40.13015,45.44305,110,20,NA,NA,1.661,State water cadastre,Gauging Station measurements
Armenia,Варденис,с. Варденик (Нижняя Гезалдара),40.11956,45.455433,105,16,NA,NA,0.1575,State water cadastre,Gauging Station measurements
Armenia,Аргичи,с. Геташен Верин (Верхний Адиаман),40.14082,45.265938,366,24,NA,NA,5.1606,State water cadastre,Gauging Station measurements
Armenia,Арпа,г. Ехегнадзор (Микоян),39.736176,45.331306,1220,75,NA,NA,11.712,State water cadastre,Gauging Station measurements
Armenia,Арпа,с. Арени (Арпа),39.71796,45.168247,2040,100,NA,NA,20.604,State water cadastre,Gauging Station measurements
Armenia,Элегис,с. Шатин,39.825943,45.302128,458,89,NA,NA,7.9692,State water cadastre,Gauging Station measurements
Armenia,Мегригет,г. Мегри,38.89658,46.2379,274,140,NA,NA,3.0962,State water cadastre,Gauging Station measurements
Armenia,Воротан,с. Борисовка,39.651123,45.826355,507,3.6,NA,NA,6.7938,State water cadastre,Gauging Station measurements
Armenia,Воротан,с. Ангехакот,39.558437,45.92524,787,24,NA,NA,10.4671,State water cadastre,Gauging Station measurements
Armenia,Воротан,с. Эйвазлар,39.422642,46.38681,2020,68,NA,NA,19.998,State water cadastre,Gauging Station measurements
Armenia,Дебет,ст. Налбад,40.846016,44.188236,359,32,NA,NA,2.4412,State water cadastre,Gauging Station measurements
Armenia,Дебет,с. Мегрут,40.816967,44.544647,1070,87,NA,NA,7.49,State water cadastre,Gauging Station measurements
Armenia,Дебет,ст. Туманян (Колагеран),40.904114,44.623478,1370,80,NA,NA,10.275,State water cadastre,Gauging Station measurements
Armenia,Дебет,ст. Ахтала,41.142143,44.781281,3430,95,NA,NA,31.556,State water cadastre,Gauging Station measurements
Armenia,Дзорагет,г. Степанаван,41.008865,44.396854,1000,50,NA,NA,12.4,State water cadastre,Gauging Station measurements
Armenia,Дзорагет,ниже впадения р. Гаргар,40.954098,44.589237,1450,45,NA,NA,15.66,State water cadastre,Gauging Station measurements
Armenia,Акстафа,г. Дилижан,40.746147,44.871418,222,53,NA,NA,2.4864,State water cadastre,Gauging Station measurements
Armenia,Акстафа,г. Иджеван,40.875122,45.147301,1270,72,NA,NA,8.382,State water cadastre,Gauging Station measurements
Armenia,Акстафа,Кривой мост,40.960201,45.180431,1610,59,NA,NA,8.05,State water cadastre,Gauging Station measurements
Armenia,Гетик,с. Алачух,40.688869,45.131081,328,28,NA,NA,3.28,State water cadastre,Gauging Station measurements
Armenia,Ахум,с. Цахкаван (Ахум),40.935482,45.343113,169,36,NA,NA,1.3013,State water cadastre,Gauging Station measurements
Armenia,Таузчай,с. Берд,40.87537,45.398952,102,40,NA,NA,0.7038,State water cadastre,Gauging Station measurements
Azerbaijan,Аракс,пгт Саатлы,39.948135,48.352531,100000,49,NA,NA,210,State water cadastre,Gauging Station measurements
Azerbaijan,Нахичеваньчай,с. Карабаба (Шахбуз),39.38596,45.541397,449,270,NA,NA,5.7023,State water cadastre,Gauging Station measurements
Azerbaijan,Джагрыхчай,с. Паиз,39.407539,45.379009,348,89,NA,NA,1.218,State water cadastre,Gauging Station measurements
Azerbaijan,Гилянчай,с. Нюргют,39.195236,45.898529,94.9,27,NA,NA,2.24913,State water cadastre,Gauging Station measurements
Azerbaijan,Ордубадчай,с. Нуснус,38.947056,46.016979,34,100,NA,NA,0.3672,State water cadastre,Gauging Station measurements
Azerbaijan,Акерачай,с. Караджанлы,39.398037,46.645805,2310,83,NA,NA,14.553,State water cadastre,Gauging Station measurements
Azerbaijan,Куручай,с. Туг,39.592377,46.985275,201,27,NA,NA,1.6683,State water cadastre,Gauging Station measurements
Azerbaijan,Кудиалчай,с. Кырыз,41.23344,48.302208,426,1500,NA,NA,8.094,State water cadastre,Gauging Station measurements
Azerbaijan,Кудиалчай,с. Кюпчал (Верхний Кюпчал),41.332664,48.386276,517,1400,NA,NA,6.8244,State water cadastre,Gauging Station measurements
Azerbaijan,Сумгаит,с. Перекишкюль,40.51252,49.435925,1500,200,NA,NA,1.2,State water cadastre,Gauging Station measurements
Azerbaijan,Кура,"г. Мингечаур (пост № 4, ГЭС Мингечаурская)",40.786076,47.017223,62600,400,NA,NA,294.22,State water cadastre,Gauging Station measurements
Azerbaijan,Кура,ст. Евлах,40.616852,47.180111,66800,3.9,NA,NA,300.6,State water cadastre,Gauging Station measurements
Azerbaijan,Кура,с. Зардоб,40.206982,47.712185,76000,34,NA,NA,304,State water cadastre,Gauging Station measurements
Azerbaijan,Кура,"г. Сабирабад (Петропавловка, Джеват)",40.033062,48.474869,178000,180,NA,NA,587.4,State water cadastre,Gauging Station measurements
Azerbaijan,Кура,с. Сурра,40.076427,48.535618,178000,96,NA,NA,498.4,State water cadastre,Gauging Station measurements
Azerbaijan,Кура,г. Сальяны,39.614822,48.97744,188000,160,NA,NA,470,State water cadastre,Gauging Station measurements
Azerbaijan,Кюракчай,с. Дозулар,40.527069,46.478828,439,80,NA,NA,3.7315,State water cadastre,Gauging Station measurements
Azerbaijan,"Гераньчай (Карачай, Геранчай)","с. Юхары Аджакенд (с. Верхний Агджакенд, Юхары Агджакенд)",40.394203,46.493771,144,9,NA,NA,1.9584,State water cadastre,Gauging Station measurements
Azerbaijan,Тертер,с. Мадагиз,40.319225,46.748962,2460,150,NA,NA,22.14,State water cadastre,Gauging Station measurements
Azerbaijan,Левчай,с. Камышлы,40.205769,46.184807,363,490,NA,NA,5.445,State water cadastre,Gauging Station measurements
Azerbaijan,Тутхун,близ устья (устье),40.135601,46.22588,522,58,NA,NA,4.5936,State water cadastre,Gauging Station measurements
Azerbaijan,"Турианчай (Карасу, Карачай)",с. Савалан,40.769306,47.594357,1340,1000,NA,NA,15.812,State water cadastre,Gauging Station measurements
Azerbaijan,Каркарчай,мост Ага-Керпи (с. Агакерпи),39.852547,46.771702,238,30,NA,NA,1.4042,State water cadastre,Gauging Station measurements
Azerbaijan,Геокчай,г. Геокчай,40.642071,47.745716,1480,890,NA,NA,12.876,State water cadastre,Gauging Station measurements
Azerbaijan,Геокчай,с. Буйнуз,40.855019,47.977249,308,1300,NA,NA,8.6548,State water cadastre,Gauging Station measurements
Azerbaijan,Агричай,с. Исмаиллы,40.764923,48.140812,88.2,50,NA,NA,1.2348,State water cadastre,Gauging Station measurements
Azerbaijan,Ахохчай,с. Ханагя,40.847691,48.131729,66.4,4100,NA,NA,1.48072,State water cadastre,Gauging Station measurements
Azerbaijan,Велишчай,с. Такдама,38.94305,48.417145,428,200,NA,NA,3.0388,State water cadastre,Gauging Station measurements
Azerbaijan,Велишчай,с. Шихляр (Шихлар),38.951942,48.519279,785,150,NA,NA,4.4745,State water cadastre,Gauging Station measurements
Azerbaijan,"Ленкоранка (Ленкорань, Вазарю)","с. Сифидор (Риво, Рво)",38.706905,48.779564,893,110,NA,NA,7.9477,State water cadastre,Gauging Station measurements
Azerbaijan,Тангерю (Тангеручай),с. Ваго,38.58083,48.79446,153,25,NA,NA,2.8917,State water cadastre,Gauging Station measurements
Azerbaijan,Кура,с. Крахкесаман,41.230801,45.487366,35900,370,NA,NA,258.48,State water cadastre,Gauging Station measurements
Azerbaijan,Кура,с. Хулуф,40.917568,46.402996,40500,390,NA,NA,263.25,State water cadastre,Gauging Station measurements
Azerbaijan,Кура,с. Карасахкал,40.901691,46.454597,41700,190,NA,NA,291.9,State water cadastre,Gauging Station measurements
Azerbaijan,Асрикчай,с. Асрик-Джирдахан,40.865536,45.627586,114,7.9,NA,NA,0.3306,State water cadastre,Gauging Station measurements
Azerbaijan,Дзегамчай,с. Яныхлы,40.880547,45.756649,740,340,NA,NA,5.032,State water cadastre,Gauging Station measurements
Azerbaijan,Кошкарачай,г. Дашкесан,40.516838,46.103527,105,30,NA,NA,0.7455,State water cadastre,Gauging Station measurements
Azerbaijan,Катехчай,с. Кабиздара,41.722992,46.600651,236,490,NA,NA,9.9356,State water cadastre,Gauging Station measurements
Azerbaijan,Талачай,г. Закаталы,41.640236,46.668381,136,2800,NA,NA,3.3456,State water cadastre,Gauging Station measurements
Azerbaijan,Курмухчай,с. Илису (Елису),41.468037,47.045258,166,1500,NA,NA,4.5982,State water cadastre,Gauging Station measurements
Azerbaijan,Агричай,с. Баш-Дашагыл,41.168053,47.429993,92,1300,NA,NA,2.53,State water cadastre,Gauging Station measurements
Azerbaijan,Gudyal?ay,Khinalug,41.17047222,48.14061944,104,764,1966-1990,25,3.3,"Eyubova, 2015",Gauging Station measurements
Azerbaijan,Gudyal?ay,Qriz,41.20800278,48.24070278,426,1654,1962-2000,39,7.27,"Eyubova, 2015",Gauging Station measurements
Azerbaijan,Gara?ay,Ryuk,41.13849722,48.35494167,137,755,1977-2002,26,2.32,"Eyubova, 2015",Gauging Station measurements
Azerbaijan,Cighacug?ay,Rustov,41.25331944,48.57262778,71.5,768,1968-2000,33,0.73,"Eyubova, 2015",Gauging Station measurements
Azerbaijan,Valvala?ay,Tengealti,41.20465556,48.62395,454,1058,1968-2000,33,3.82,"Eyubova, 2015",Gauging Station measurements
Azerbaijan,Khamirdor?ay,Xaltan,40.97446944,48.688625,42.4,156.5,1972-2000,29,0.375,"Eyubova, 2015",Gauging Station measurements
Azerbaijan,Kurmuk?ay,Sarybash,41.5162,47.07476389,67.2,1846,1957-1996,40,1.82,"Abduev, 2015",Gauging Station measurements
Azerbaijan,Ganca?ay,Zurnabad,40.50153611,46.24468333,319.4,62.9,1947-1999,53,4.22,"Abduev, 2015",Gauging Station measurements
Azerbaijan,Shamkir?ay,V.Churkhend,40.62768889,45.99503611,920,95.8,1952-1991,40,8.46,"Abduev, 2015",Gauging Station measurements
Azerbaijan,Gilan?ay,Nurgut,39.22226667,45.89956667,105,14.3,1962-1996,35,1.96,"Abduev, 2015",Gauging Station measurements
Azerbaijan,Nax?ivan?ay,Bi?anak,39.50108611,45.76100833,95,57,1962-1999,38,1.7,"Abduev, 2015",Gauging Station measurements
Azerbaijan,Vilash?ay,Yardimli,38.90754444,48.25125833,315,23.25,1962-2001,40,1.165,"Abduev, 2015",Gauging Station measurements
Azerbaijan,Lankaran?ay,Lankaran,38.72682778,48.8272,1060,145,1967-2001,35,12.75,"Abduev, 2015",Gauging Station measurements
Russia,Черек Балкарский,с. Бабугент,43.2536,43.5446,694,793,1925-2013,89,26.31,UGMS,Gauging Station measurements
Russia,Терек,ст. Котляревская,43.5731,44.0766,8782,539,"1925-2002, 2008-2015",86,132.1,UGMS,Gauging Station measurements
Russia,Камбилеевка,с. Ольгинское,43.1643,44.6962,329,141,"1925-2002, 2008-2012, 2014-2015 ",84,3.23,UGMS,Gauging Station measurements
Russia,Малка,ст. Прохладная,43.7441,44.0839,11488,481.5,"1925-2002, 2008-2013",84,96.62,UGMS,Gauging Station measurements
Russia,Малка,с. Каменномостское,43.7334,43.0661,1548,118,"1925-2002, 2008-2013",84,13.93,UGMS,Gauging Station measurements
Russia,Аргун,с. Дуба-Юрт,43.031,45.7216,3182,980,1925-2002,78,45.63,UGMS,Gauging Station measurements
Russia,Ардон,с. Тамиск,42.9684,44.218,1139,680,1925-2002,78,29.02,UGMS,Gauging Station measurements
Russia,Асса,с. Мужичи,43.0297,44.9974,764,183,1925-2002,78,15.28,UGMS,Gauging Station measurements
Russia,Асса,ст-ца Нестеровская,43.225,45.0578,908,414,1925-2002,78,16.84,UGMS,Gauging Station measurements
Russia,Баксан,с. Заюково,43.6061,43.3391,2172,311,1925-2002,78,33.58,UGMS,Gauging Station measurements
Russia,Белка,г. Гудермес,43.3512,46.0806,1201,953,1925-2002,78,4.36,UGMS,Gauging Station measurements
Russia,Гизельдон,с. Даргавс,42.8411,44.4421,132,423,1925-2002,78,2.9,UGMS,Gauging Station measurements
Russia,Сунжа,с. Брагуны,43.4338,46.1006,12200,723,1925-2002,78,84.34,UGMS,Gauging Station measurements
Russia,Сунжа,пгт Карабулак,43.2979,44.9062,602,76,1925-2002,78,2.89,UGMS,Gauging Station measurements
Russia,Сунжа,г. Грозный,43.3013,45.6878,4709,452,1925-2002,78,36.16,UGMS,Gauging Station measurements
Russia,Терек,с. Эльхотово,43.3605,44.1822,6754,323,1925-2002,78,102.75,UGMS,Gauging Station measurements
Russia,Терек,с. Степное,43.4198,46.2324,11986,501,1925-2002,78,299.1,UGMS,Gauging Station measurements
Russia,Терек,с. Нижний Ларс,42.7877,44.6357,1047,1103,1925-2002,78,26.73,UGMS,Gauging Station measurements
Russia,Терек,с. Казбеги,42.66,44.6377,778,1316,1925-2002,78,23.79,UGMS,Gauging Station measurements
Russia,Терек,г.  Владикавказ  (г. Орджоникидзе),43.0409,44.6661,1517,1890,1925-2002,78,33.8,UGMS,Gauging Station measurements
Russia,Черек,пгт Кашхатау (Советский),43.3093,43.6135,1361,474,1925-2002,78,39.33,UGMS,Gauging Station measurements
Russia,Кубань,х. Тиховский,45.1868,38.2184,49564,83,1946-2004,58,369.58,"[Magritskii, 2011]",Gauging Station measurements
Russia,Белая,пгт Каменномостский,44.2988,40.1776,1876,236,"<1984, 2008-2015",54,49.98,"State water cadastre, AIS GMVO",Gauging Station measurements
Russia,Кума,г. Буденновск,44.7735,44.176,15082,34,"<1984, 2008-2015",50,10.62,"State water cadastre, AIS GMVO",Gauging Station measurements
Russia,Подкумок,ст-ца Лысогорская (Незлобная),44.1109,43.2917,1991,129,"<1984, 2008-2015",49,7.32,"State water cadastre, AIS GMVO",Gauging Station measurements
Russia,Белая,х. Кирпичный (Грозный),44.552,40.1449,2311,286,"<1984, 2008-2015",48,54.56,"State water cadastre, AIS GMVO",Gauging Station measurements
Russia,Кубань,г. Армавир,45.0075,41.1395,16868,185,"<1984, 2008-2015",41,130.59,"State water cadastre, AIS GMVO",Gauging Station measurements
Russia,Кума,ст-ца Александрийская,44.2148,43.358,3591,52,"<1984, 2008-2012, 2014-2015",41,5.42,"State water cadastre, AIS GMVO",Gauging Station measurements
Russia,Калаус,г. Светлоград,45.3401,42.8358,4807,95,"<1984, 2010-2015",39,3.39,"State water cadastre, AIS GMVO",Gauging Station measurements
Russia,Шахе,с. Солох-Аул,43.8103,39.6768,411,511,<1984,37,28.06,State water cadastre,Gauging Station measurements
Russia,Адагум,г. Крымск,44.9188,37.989,332,108,<1984,34,3.21,State water cadastre,Gauging Station measurements
Russia,Большой Зеленчук,ст-ца Исправная,44.0782,41.5989,1909,117,<1984,34,40.14,State water cadastre,Gauging Station measurements
Russia,Кубань,г. Краснодар,44.9915,38.9603,45205,175,<1984,34,389.01,State water cadastre,Gauging Station measurements
Russia,Лаба,ст-ца Каладжинская,44.3274,40.8702,3350,183,<1984,33,81.63,State water cadastre,Gauging Station measurements
Russia,Уруп,х. Стеблицкий,44.8968,41.1468,3132,299,"<1984, 2008, 2010-2015",32,16.89,"State water cadastre, AIS GMVO",Gauging Station measurements
Russia,Мзымта,р. п. Красная поляна,43.6763,40.21,529,410,"<1984, 2012-2015",31,32.05,"State water cadastre, AIS GMVO",Gauging Station measurements
Russia,Псекупс,г. Горячий ключ,44.645,39.1257,773,204,<1984,31,15.25,State water cadastre,Gauging Station measurements
Russia,Сочи,с. Пластунка,43.7017,39.7649,233,290,"<1984, 2008-2015",31,15.48,"State water cadastre, AIS GMVO",Gauging Station measurements
Russia,Кубань,х. Дегтяревский,44.5415,41.9402,7589,170,<1984,29,93.1,State water cadastre,Gauging Station measurements
Russia,Кубань,с. им. Коста Хетагурова,43.8113,41.9071,3793,130,<1984,29,75.13,State water cadastre,Gauging Station measurements
Russia,Мзымта,пос. Кепш (Ах-Цу),43.6104,40.0513,807,451,<1984,28,44.86,State water cadastre,Gauging Station measurements
Russia,Белая,с. Кора-Урсдон,43.0946,44.0898,313,208,"<1984, 2008-2015",27,6.55,"State water cadastre, AIS GMVO",Gauging Station measurements
Russia,Теберда,г. Теберда,43.4418,41.7411,507,240,<1984,27,26.76,State water cadastre,Gauging Station measurements
Russia,Кума,с. Владимировка,44.7584,44.7812,19746,16,"<1984, 2010-2015",26,9.94,"State water cadastre, AIS GMVO",Gauging Station measurements
Russia,Шебш,ст-ца Новодмитриевская,44.8313,38.8732,566,247,<1984,25,7.65,State water cadastre,Gauging Station measurements
Russia,Кума,с. Стародубское,44.558,44.0357,11026,76,<1984,24,11.79,State water cadastre,Gauging Station measurements
Russia,Чамлык,ст-ца Вознесенская,44.5477,41.0383,543,74,<1984,24,1.18,State water cadastre,Gauging Station measurements
Russia,Пшеха,г. Апшеронск,44.4851,39.7439,1493,241,<1984,23,38.36,State water cadastre,Gauging Station measurements
Russia,Пшеха,с. Чернигорское,44.2492,39.7684,654,249,<1984,22,22.98,State water cadastre,Gauging Station measurements
